Search keyword
18 May 2026 - 24 May 2026
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
ellenbrook gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,20,151,13.25%,1.98,39.53,66.67%,80.30%,3.00,0,13.18,15.00%,261.77
gym near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,19,173,10.98%,1.96,37.26,29.27%,82.93%,6.00,0,6.21,31.58%,215.37
gyms in ellenbrook,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,19,154,12.34%,2.72,51.71,57.89%,76.32%,0.00,0,0,0.00%,335.78
fitness centre,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,14,134,10.45%,1.32,18.48,57.14%,85.71%,0.00,0,0,0.00%,137.88
Ellenbrook fitness centre,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,12,78,15.38%,2.72,32.62,69.70%,81.82%,3.00,0,10.87,25.00%,418.24
gyms ellenbrook,Eligible,,Exact match,Ellenbrook Gym,Ellenbrook,AUD,0.01,7,73,9.59%,4.26,29.84,89.47%,94.74%,0.00,0,0,0.00%,408.77
gym with kids club,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,6,23,26.09%,0.43,2.57,46.15%,84.62%,0.00,0,0,0.00%,111.55
health club,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,4,90,4.44%,0.94,3.74,36.36%,75.76%,3.00,0,1.25,75.00%,41.59
reformer pilates ellenbrook,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,4,11,36.36%,1.44,5.78,33.33%,83.33%,0.00,0,0,0.00%,525.19
chasing better gym ellenbrook,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,4,8,50.00%,1.77,7.08,100.00%,100.00%,4.00,0,1.77,100.00%,885.59
24 hour gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,15,6.67%,3.86,3.86,40.00%,100.00%,0.00,0,0,0.00%,257.52
24 hour fitness near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,2,50.00%,1.20,1.20,100.00%,100.00%,0.00,0,0,0.00%,600.00
gym with creche near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,11,9.09%,0.46,0.46,66.67%,100.00%,0.00,0,0,0.00%,41.71
aveley gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,1,15,6.67%,1.44,1.44,50.00%,87.50%,0.00,0,0,0.00%,96.00
swan valley gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,1,4,25.00%,1.32,1.32,33.33%,33.33%,0.00,0,0,0.00%,330.00
Henley Brook Gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,1,5,20.00%,4.55,4.55,100.00%,100.00%,0.00,0,0,0.00%,910.00
24 hour fitness,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
best gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,4,0.00%,0,0.00,50.00%,50.00%,0.00,0,0,0,0.00
24 hour gym near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,7,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
gym with sauna near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym with ice bath,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
fitness classes Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
group fitness Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
chasing better ellenbrook,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,5,0.00%,0,0.00,50.00%,50.00%,0.00,0,0,0,0.00
24/7 gym Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
personal trainer Ellenbrook,Paused,paused,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym aveley,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,18,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
gym brabham,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Brabham Gym,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym Henley Brook,Eligible,,Phrase match,Ellenbrook Gym,Ellenbrook,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
